,string,stringID,tag1,score1,tag2,score2,tag3,score3
0,Useful for them to hear about the therapy process and then there's a part of it ,70590,neutral,0.5566584,curiosity ğŸ¤”,0.36844334,approval ğŸ‘,0.36686784
1,"Before you get into this management lock because it's it's great fun, but challenging the genuine reasons need to be there because I think what a lot of people don't realize is that want to step into management ",113791,admiration ğŸ‘,0.56747645,annoyance ğŸ˜’,0.3789424,anger ğŸ˜¡,0.3768595
2,I first picked but the next two picks that really or maybe just the third pick I guess because nothing wrong with the second trick ,11843,neutral,0.44603628,approval ğŸ‘,0.3805332,confusion ğŸ˜•,0.37440825
3,"Okay, so we talked about April 2016, right and then start blogging about common consent ",55688,neutral,0.5551586,annoyance ğŸ˜’,0.39184657,approval ğŸ‘,0.3690825
4,I'm good a lot of talent ,116973,admiration ğŸ‘,0.64636743,sadness ğŸ˜,0.37820777,approval ğŸ‘,0.37397677
5,Happily of haffley's probably that the wrong word ,15990,neutral,0.5368286,disapproval ğŸ‘,0.39429697,curiosity ğŸ¤”,0.3821846
6,I've got like a list of them in front of me that I've written out and I'm trying to decide which five I think of the most common in that ,23301,neutral,0.45143327,approval ğŸ‘,0.3744942,disappointment ğŸ˜,0.3639411
7,You've also put down in summary in summary notes that ,16470,neutral,0.6191105,sadness ğŸ˜,0.36825392,pride ğŸ˜Œ,0.36226442
8,It blows my mind ,97038,neutral,0.5270069,excitement ğŸ¤©,0.3738356,surprise ğŸ˜²,0.35909754
9,A really did everything you needed to so your way in the clear ,93418,neutral,0.42916945,curiosity ğŸ¤”,0.40998587,anger ğŸ˜¡,0.38885468
10,"Listen, he's not always born like how he was when you came with who's super quiet, right ",5466,curiosity ğŸ¤”,0.40461245,neutral,0.38166577,disapproval ğŸ‘,0.37968948
11,Just let the sofa cushions ,40810,neutral,0.67861116,anger ğŸ˜¡,0.4005693,annoyance ğŸ˜’,0.37118188
12,I want chicken Brandy ,100404,desire ğŸ˜,0.6209794,approval ğŸ‘,0.39136147,excitement ğŸ¤©,0.38852453
13,Yeah the Sox have swear words on them ,124336,neutral,0.6691478,curiosity ğŸ¤”,0.37972954,disgust ğŸ¤®,0.35586765
14,It's not just real estate talk ,65650,neutral,0.5085757,disapproval ğŸ‘,0.43639705,sadness ğŸ˜,0.39276293
15,So that is personal self care ,88801,anger ğŸ˜¡,0.3912244,neutral,0.38620675,admiration ğŸ‘,0.38221398
16,So the last thing like you both guys were surprised when I said I was and I was so I'm pretty sure he felt the same way was like I'm taking this game person ,4243,approval ğŸ‘,0.38837013,surprise ğŸ˜²,0.38378343,admiration ğŸ‘,0.3806854
17,I need to take up the governor and I'm now a tear myself ,81420,neutral,0.42201704,approval ğŸ‘,0.38260177,desire ğŸ˜,0.38034984
18,I have to go you guys can go play outside right ,92770,neutral,0.5589664,approval ğŸ‘,0.38805678,caring ğŸ¤—,0.3712998
19,Leaving the church a and working to help these people my attitude just changed ,39658,neutral,0.43238655,annoyance ğŸ˜’,0.37622947,anger ğŸ˜¡,0.37054992
20,"Doesn't correlate with your feed then you you're probably going to you know, I have one model who has photos from he says she can't wait suppose ",77352,neutral,0.52682173,curiosity ğŸ¤”,0.38531125,confusion ğŸ˜•,0.36904898
21,So this week I'm looking at other things that have been going up to over the Christmas break and we're quite big fans in the nail household of going to the cinema ,77880,neutral,0.4292067,curiosity ğŸ¤”,0.38438177,annoyance ğŸ˜’,0.37518418
22,"We're leaving this, you know, this Palace way out in the middle of nowhere away from the people and you're going to be accountable to the people again ",17587,neutral,0.527474,annoyance ğŸ˜’,0.3888305,anger ğŸ˜¡,0.3830778
23,"Yeah, I would say so ",53620,neutral,0.41380775,approval ğŸ‘,0.37979734,realization ğŸ’¡,0.36814013
24,Is that what they say ,135340,neutral,0.69541526,curiosity ğŸ¤”,0.5115301,confusion ğŸ˜•,0.4313682
25,I just hope no one shows up here ,96422,optimism ğŸ¤,0.999275,desire ğŸ˜,0.40322828,caring ğŸ¤—,0.38050357
26,"And if not as soon as he goes inside the arc, let him bill ",4185,neutral,0.7325864,disapproval ğŸ‘,0.4026631,annoyance ğŸ˜’,0.37615722
27,Thank you Elizabeth miss you ,31698,gratitude ğŸ™,0.99784756,curiosity ğŸ¤”,0.42670396,anger ğŸ˜¡,0.3779631
28,Happened and day out ,91196,neutral,0.6454818,curiosity ğŸ¤”,0.37215772,excitement ğŸ¤©,0.36795613
29,So this week I'm looking at other things that have been going up to over the Christmas break and we're quite big fans in the nail household of going to the cinema ,77880,neutral,0.4292067,curiosity ğŸ¤”,0.38438177,annoyance ğŸ˜’,0.37518418
30,"Basically, it's everything you need to make a podcast all in one handy place ",63209,annoyance ğŸ˜’,0.38023287,curiosity ğŸ¤”,0.37251583,anger ğŸ˜¡,0.3673776
31,"We're leaving this, you know, this Palace way out in the middle of nowhere away from the people and you're going to be accountable to the people again ",17587,neutral,0.527474,annoyance ğŸ˜’,0.3888305,anger ğŸ˜¡,0.3830778
32,"And if not as soon as he goes inside the arc, let him bill ",4185,neutral,0.7325864,disapproval ğŸ‘,0.4026631,annoyance ğŸ˜’,0.37615722
33,"Before you get into this management lock because it's it's great fun, but challenging the genuine reasons need to be there because I think what a lot of people don't realize is that want to step into management ",113791,admiration ğŸ‘,0.56747645,annoyance ğŸ˜’,0.3789424,anger ğŸ˜¡,0.3768595
34,So that is personal self care ,88801,anger ğŸ˜¡,0.3912244,neutral,0.38620675,admiration ğŸ‘,0.38221398
35,I'm sure you'll be back on you ,109510,neutral,0.5271298,sadness ğŸ˜,0.375952,approval ğŸ‘,0.37448463
36,That compares to only 42 members of the Donner Party who perished in the Sierras yet ,52979,neutral,0.59337324,annoyance ğŸ˜’,0.3735224,curiosity ğŸ¤”,0.3596985
37,So like I have friends that will get like lifeguards on hand when you have that many people I still get so scared about having kids around ,101908,approval ğŸ‘,0.37785017,sadness ğŸ˜,0.37198576,annoyance ğŸ˜’,0.37109074
38,Is that what they say ,135340,neutral,0.69541526,curiosity ğŸ¤”,0.5115301,confusion ğŸ˜•,0.4313682
39,"Yeah, it only got to me like straight up ",257,neutral,0.48938632,approval ğŸ‘,0.36209342,disappointment ğŸ˜,0.36070982
40,Apparently he one of his buddies brought a bunch of white t-shirts to school and a Sharpie and they made gang shirts ,50191,neutral,0.5883624,excitement ğŸ¤©,0.35950264,nervousness ğŸ˜¬,0.35628948
41,We believe that in Dan ,41265,neutral,0.59028244,sadness ğŸ˜,0.3756059,surprise ğŸ˜²,0.37000838
42,"So yeah, the only thing ",76440,neutral,0.5536738,approval ğŸ‘,0.36636454,excitement ğŸ¤©,0.357304
43,I have to go you guys can go play outside right ,92770,neutral,0.5589664,approval ğŸ‘,0.38805678,caring ğŸ¤—,0.3712998
44,At number 4 South East Melbourne gets the ball and we're going the other way and eventually eventually Mitch by the niche and Jake rocket take off like a rocket bringing the truth from the roof for the Phoenix at number four on to number three and The Once and Future ,2426,neutral,0.59520245,annoyance ğŸ˜’,0.36620435,approval ğŸ‘,0.3598871
45,And you did have this guy like from the Press like we were talking earlier who really cemented that fact of just of of just like that if we just kill more people if we just killed that next person ,17781,neutral,0.50375545,curiosity ğŸ¤”,0.3875969,annoyance ğŸ˜’,0.37489069
46,Yeah the Sox have swear words on them ,124336,neutral,0.6691478,curiosity ğŸ¤”,0.37972954,disgust ğŸ¤®,0.35586765
47,You've also put down in summary in summary notes that ,16470,neutral,0.6191105,sadness ğŸ˜,0.36825392,pride ğŸ˜Œ,0.36226442
48,"I mean, there's no magic bullet here Daryl at all ",74348,neutral,0.51532435,approval ğŸ‘,0.37924004,disapproval ğŸ‘,0.37691498
49,Happily of haffley's probably that the wrong word ,15990,neutral,0.5368286,disapproval ğŸ‘,0.39429697,curiosity ğŸ¤”,0.3821846
50,Happened and day out ,91196,neutral,0.6454818,curiosity ğŸ¤”,0.37215772,excitement ğŸ¤©,0.36795613
51,So the last thing like you both guys were surprised when I said I was and I was so I'm pretty sure he felt the same way was like I'm taking this game person ,4243,approval ğŸ‘,0.38837013,surprise ğŸ˜²,0.38378343,admiration ğŸ‘,0.3806854
52,Thank you Elizabeth miss you ,31698,gratitude ğŸ™,0.99784756,curiosity ğŸ¤”,0.42670396,anger ğŸ˜¡,0.3779631
53,I first picked but the next two picks that really or maybe just the third pick I guess because nothing wrong with the second trick ,11843,neutral,0.44603628,approval ğŸ‘,0.3805332,confusion ğŸ˜•,0.37440825
54,"Okay, I would actually like to Niche down to working with former gang members and drug dealers, you know, because being a criminal could be so Broad and that's that's personal passion ",70270,neutral,0.4148488,approval ğŸ‘,0.37538686,annoyance ğŸ˜’,0.37332034
55,"Yeah, I would say so ",53620,neutral,0.41380775,approval ğŸ‘,0.37979734,realization ğŸ’¡,0.36814013
56,It's not just real estate talk ,65650,neutral,0.5085757,disapproval ğŸ‘,0.43639705,sadness ğŸ˜,0.39276293
57,I want chicken Brandy ,100404,desire ğŸ˜,0.6209794,approval ğŸ‘,0.39136147,excitement ğŸ¤©,0.38852453
58,"Listen, he's not always born like how he was when you came with who's super quiet, right ",5466,curiosity ğŸ¤”,0.40461245,neutral,0.38166577,disapproval ğŸ‘,0.37968948
59,"That's just me, but it definitely happens rumor has it also that the hottest most ",28746,neutral,0.4120767,approval ğŸ‘,0.39282507,annoyance ğŸ˜’,0.37222385
60,"Doesn't correlate with your feed then you you're probably going to you know, I have one model who has photos from he says she can't wait suppose ",77352,neutral,0.52682173,curiosity ğŸ¤”,0.38531125,confusion ğŸ˜•,0.36904898
61,I need to take up the governor and I'm now a tear myself ,81420,neutral,0.42201704,approval ğŸ‘,0.38260177,desire ğŸ˜,0.38034984
62,That's what you do ,73437,curiosity ğŸ¤”,0.6956453,confusion ğŸ˜•,0.48668128,neutral,0.44359592
63,Leaving the church a and working to help these people my attitude just changed ,39658,neutral,0.43238655,annoyance ğŸ˜’,0.37622947,anger ğŸ˜¡,0.37054992
64,I've got like a list of them in front of me that I've written out and I'm trying to decide which five I think of the most common in that ,23301,neutral,0.45143327,approval ğŸ‘,0.3744942,disappointment ğŸ˜,0.3639411
65,Just let the sofa cushions ,40810,neutral,0.67861116,anger ğŸ˜¡,0.4005693,annoyance ğŸ˜’,0.37118188
66,"Okay, so we talked about April 2016, right and then start blogging about common consent ",55688,neutral,0.5551586,annoyance ğŸ˜’,0.39184657,approval ğŸ‘,0.3690825
67,Useful for them to hear about the therapy process and then there's a part of it ,70590,neutral,0.5566584,curiosity ğŸ¤”,0.36844334,approval ğŸ‘,0.36686784
68,He talked about all those gay friends ,37198,neutral,0.62603736,anger ğŸ˜¡,0.36783972,joy ğŸ˜ƒ,0.36725914
69,I would think okay something that I did that was really out of character one time ,6944,curiosity ğŸ¤”,0.38433072,confusion ğŸ˜•,0.37136582,approval ğŸ‘,0.36777708
70,Let's break it down for him ,122458,neutral,0.72961295,caring ğŸ¤—,0.35968018,pride ğŸ˜Œ,0.35880724
71,A really did everything you needed to so your way in the clear ,93418,neutral,0.42916945,curiosity ğŸ¤”,0.40998587,anger ğŸ˜¡,0.38885468
72,I just hope no one shows up here ,96422,optimism ğŸ¤,0.999275,desire ğŸ˜,0.40322828,caring ğŸ¤—,0.38050357
73,I think trusting the other person having another person by having a partnership these Kitty I think folks doing this other team having a partner having a sounding board ,114102,neutral,0.5238023,approval ğŸ‘,0.37474707,curiosity ğŸ¤”,0.36667016
74,I'm good a lot of talent ,116973,admiration ğŸ‘,0.64636743,sadness ğŸ˜,0.37820777,approval ğŸ‘,0.37397677
75,That's why I say mine is a good for training ,18521,admiration ğŸ‘,0.5040243,curiosity ğŸ¤”,0.3875066,confusion ğŸ˜•,0.38716364
76,It seems like he had an average exit velocity of 88 ,121514,neutral,0.62198013,disapproval ğŸ‘,0.3709887,annoyance ğŸ˜’,0.36865684
77,So thanks for Lettin us ,25435,gratitude ğŸ™,0.9971927,admiration ğŸ‘,0.40460378,sadness ğŸ˜,0.3605374
78,It blows my mind ,97038,neutral,0.5270069,excitement ğŸ¤©,0.3738356,surprise ğŸ˜²,0.35909754
79,"And if not as soon as he goes inside the arc, let him bill ",4185,neutral,0.7325864,disapproval ğŸ‘,0.4026631,annoyance ğŸ˜’,0.37615722
80,"I mean, there's no magic bullet here Daryl at all ",74348,neutral,0.51532435,approval ğŸ‘,0.37924004,disapproval ğŸ‘,0.37691498
81,"That's just me, but it definitely happens rumor has it also that the hottest most ",28746,neutral,0.4120767,approval ğŸ‘,0.39282507,annoyance ğŸ˜’,0.37222385
82,Happily of haffley's probably that the wrong word ,15990,neutral,0.5368286,disapproval ğŸ‘,0.39429697,curiosity ğŸ¤”,0.3821846
83,So that is personal self care ,88801,anger ğŸ˜¡,0.3912244,neutral,0.38620675,admiration ğŸ‘,0.38221398
84,I have to go you guys can go play outside right ,92770,neutral,0.5589664,approval ğŸ‘,0.38805678,caring ğŸ¤—,0.3712998
85,Just let the sofa cushions ,40810,neutral,0.67861116,anger ğŸ˜¡,0.4005693,annoyance ğŸ˜’,0.37118188
86,I think trusting the other person having another person by having a partnership these Kitty I think folks doing this other team having a partner having a sounding board ,114102,neutral,0.5238023,approval ğŸ‘,0.37474707,curiosity ğŸ¤”,0.36667016
87,I'm sure you'll be back on you ,109510,neutral,0.5271298,sadness ğŸ˜,0.375952,approval ğŸ‘,0.37448463
88,It blows my mind ,97038,neutral,0.5270069,excitement ğŸ¤©,0.3738356,surprise ğŸ˜²,0.35909754
89,I've got like a list of them in front of me that I've written out and I'm trying to decide which five I think of the most common in that ,23301,neutral,0.45143327,approval ğŸ‘,0.3744942,disappointment ğŸ˜,0.3639411
90,"Okay, I would actually like to Niche down to working with former gang members and drug dealers, you know, because being a criminal could be so Broad and that's that's personal passion ",70270,neutral,0.4148488,approval ğŸ‘,0.37538686,annoyance ğŸ˜’,0.37332034
91,"Listen, he's not always born like how he was when you came with who's super quiet, right ",5466,curiosity ğŸ¤”,0.40461245,neutral,0.38166577,disapproval ğŸ‘,0.37968948
92,Apparently he one of his buddies brought a bunch of white t-shirts to school and a Sharpie and they made gang shirts ,50191,neutral,0.5883624,excitement ğŸ¤©,0.35950264,nervousness ğŸ˜¬,0.35628948
93,I want chicken Brandy ,100404,desire ğŸ˜,0.6209794,approval ğŸ‘,0.39136147,excitement ğŸ¤©,0.38852453
94,I'm sure you'll be back on you ,109510,neutral,0.5271298,sadness ğŸ˜,0.375952,approval ğŸ‘,0.37448463
95,So the last thing like you both guys were surprised when I said I was and I was so I'm pretty sure he felt the same way was like I'm taking this game person ,4243,approval ğŸ‘,0.38837013,surprise ğŸ˜²,0.38378343,admiration ğŸ‘,0.3806854
96,"Yeah, I would say so ",53620,neutral,0.41380775,approval ğŸ‘,0.37979734,realization ğŸ’¡,0.36814013
97,Just let the sofa cushions ,40810,neutral,0.67861116,anger ğŸ˜¡,0.4005693,annoyance ğŸ˜’,0.37118188
98,Leaving the church a and working to help these people my attitude just changed ,39658,neutral,0.43238655,annoyance ğŸ˜’,0.37622947,anger ğŸ˜¡,0.37054992
99,He talked about all those gay friends ,37198,neutral,0.62603736,anger ğŸ˜¡,0.36783972,joy ğŸ˜ƒ,0.36725914
100,I'm good a lot of talent ,116973,admiration ğŸ‘,0.64636743,sadness ğŸ˜,0.37820777,approval ğŸ‘,0.37397677
101,That's why I say mine is a good for training ,18521,admiration ğŸ‘,0.5040243,curiosity ğŸ¤”,0.3875066,confusion ğŸ˜•,0.38716364
102,"And if not as soon as he goes inside the arc, let him bill ",4185,neutral,0.7325864,disapproval ğŸ‘,0.4026631,annoyance ğŸ˜’,0.37615722
103,You've also put down in summary in summary notes that ,16470,neutral,0.6191105,sadness ğŸ˜,0.36825392,pride ğŸ˜Œ,0.36226442
104,A really did everything you needed to so your way in the clear ,93418,neutral,0.42916945,curiosity ğŸ¤”,0.40998587,anger ğŸ˜¡,0.38885468
105,We believe that in Dan ,41265,neutral,0.59028244,sadness ğŸ˜,0.3756059,surprise ğŸ˜²,0.37000838
106,At number 4 South East Melbourne gets the ball and we're going the other way and eventually eventually Mitch by the niche and Jake rocket take off like a rocket bringing the truth from the roof for the Phoenix at number four on to number three and The Once and Future ,2426,neutral,0.59520245,annoyance ğŸ˜’,0.36620435,approval ğŸ‘,0.3598871
107,"Doesn't correlate with your feed then you you're probably going to you know, I have one model who has photos from he says she can't wait suppose ",77352,neutral,0.52682173,curiosity ğŸ¤”,0.38531125,confusion ğŸ˜•,0.36904898
108,I need to take up the governor and I'm now a tear myself ,81420,neutral,0.42201704,approval ğŸ‘,0.38260177,desire ğŸ˜,0.38034984
109,"Yeah, it only got to me like straight up ",257,neutral,0.48938632,approval ğŸ‘,0.36209342,disappointment ğŸ˜,0.36070982
110,Let's break it down for him ,122458,neutral,0.72961295,caring ğŸ¤—,0.35968018,pride ğŸ˜Œ,0.35880724
111,It's not just real estate talk ,65650,neutral,0.5085757,disapproval ğŸ‘,0.43639705,sadness ğŸ˜,0.39276293
112,I would think okay something that I did that was really out of character one time ,6944,curiosity ğŸ¤”,0.38433072,confusion ğŸ˜•,0.37136582,approval ğŸ‘,0.36777708
113,It seems like he had an average exit velocity of 88 ,121514,neutral,0.62198013,disapproval ğŸ‘,0.3709887,annoyance ğŸ˜’,0.36865684
114,That's what you do ,73437,curiosity ğŸ¤”,0.6956453,confusion ğŸ˜•,0.48668128,neutral,0.44359592
115,Useful for them to hear about the therapy process and then there's a part of it ,70590,neutral,0.5566584,curiosity ğŸ¤”,0.36844334,approval ğŸ‘,0.36686784
116,"Okay, so we talked about April 2016, right and then start blogging about common consent ",55688,neutral,0.5551586,annoyance ğŸ˜’,0.39184657,approval ğŸ‘,0.3690825
117,I think trusting the other person having another person by having a partnership these Kitty I think folks doing this other team having a partner having a sounding board ,114102,neutral,0.5238023,approval ğŸ‘,0.37474707,curiosity ğŸ¤”,0.36667016
118,Happened and day out ,91196,neutral,0.6454818,curiosity ğŸ¤”,0.37215772,excitement ğŸ¤©,0.36795613
119,"Listen, he's not always born like how he was when you came with who's super quiet, right ",5466,curiosity ğŸ¤”,0.40461245,neutral,0.38166577,disapproval ğŸ‘,0.37968948
120,So like I have friends that will get like lifeguards on hand when you have that many people I still get so scared about having kids around ,101908,approval ğŸ‘,0.37785017,sadness ğŸ˜,0.37198576,annoyance ğŸ˜’,0.37109074
121,I want chicken Brandy ,100404,desire ğŸ˜,0.6209794,approval ğŸ‘,0.39136147,excitement ğŸ¤©,0.38852453
122,I've got like a list of them in front of me that I've written out and I'm trying to decide which five I think of the most common in that ,23301,neutral,0.45143327,approval ğŸ‘,0.3744942,disappointment ğŸ˜,0.3639411
123,Apparently he one of his buddies brought a bunch of white t-shirts to school and a Sharpie and they made gang shirts ,50191,neutral,0.5883624,excitement ğŸ¤©,0.35950264,nervousness ğŸ˜¬,0.35628948
124,So that is personal self care ,88801,anger ğŸ˜¡,0.3912244,neutral,0.38620675,admiration ğŸ‘,0.38221398
125,It blows my mind ,97038,neutral,0.5270069,excitement ğŸ¤©,0.3738356,surprise ğŸ˜²,0.35909754
126,"Okay, I would actually like to Niche down to working with former gang members and drug dealers, you know, because being a criminal could be so Broad and that's that's personal passion ",70270,neutral,0.4148488,approval ğŸ‘,0.37538686,annoyance ğŸ˜’,0.37332034
127,I have to go you guys can go play outside right ,92770,neutral,0.5589664,approval ğŸ‘,0.38805678,caring ğŸ¤—,0.3712998
128,So thanks for Lettin us ,25435,gratitude ğŸ™,0.9971927,admiration ğŸ‘,0.40460378,sadness ğŸ˜,0.3605374
129,I first picked but the next two picks that really or maybe just the third pick I guess because nothing wrong with the second trick ,11843,neutral,0.44603628,approval ğŸ‘,0.3805332,confusion ğŸ˜•,0.37440825
130,So this week I'm looking at other things that have been going up to over the Christmas break and we're quite big fans in the nail household of going to the cinema ,77880,neutral,0.4292067,curiosity ğŸ¤”,0.38438177,annoyance ğŸ˜’,0.37518418
131,"We're leaving this, you know, this Palace way out in the middle of nowhere away from the people and you're going to be accountable to the people again ",17587,neutral,0.527474,annoyance ğŸ˜’,0.3888305,anger ğŸ˜¡,0.3830778
132,"That's just me, but it definitely happens rumor has it also that the hottest most ",28746,neutral,0.4120767,approval ğŸ‘,0.39282507,annoyance ğŸ˜’,0.37222385
133,And you did have this guy like from the Press like we were talking earlier who really cemented that fact of just of of just like that if we just kill more people if we just killed that next person ,17781,neutral,0.50375545,curiosity ğŸ¤”,0.3875969,annoyance ğŸ˜’,0.37489069
134,I just hope no one shows up here ,96422,optimism ğŸ¤,0.999275,desire ğŸ˜,0.40322828,caring ğŸ¤—,0.38050357
135,Is that what they say ,135340,neutral,0.69541526,curiosity ğŸ¤”,0.5115301,confusion ğŸ˜•,0.4313682
136,Thank you Elizabeth miss you ,31698,gratitude ğŸ™,0.99784756,curiosity ğŸ¤”,0.42670396,anger ğŸ˜¡,0.3779631
137,"So yeah, the only thing ",76440,neutral,0.5536738,approval ğŸ‘,0.36636454,excitement ğŸ¤©,0.357304
138,"I mean, there's no magic bullet here Daryl at all ",74348,neutral,0.51532435,approval ğŸ‘,0.37924004,disapproval ğŸ‘,0.37691498
139,Yeah the Sox have swear words on them ,124336,neutral,0.6691478,curiosity ğŸ¤”,0.37972954,disgust ğŸ¤®,0.35586765
140,That compares to only 42 members of the Donner Party who perished in the Sierras yet ,52979,neutral,0.59337324,annoyance ğŸ˜’,0.3735224,curiosity ğŸ¤”,0.3596985
141,"Before you get into this management lock because it's it's great fun, but challenging the genuine reasons need to be there because I think what a lot of people don't realize is that want to step into management ",113791,admiration ğŸ‘,0.56747645,annoyance ğŸ˜’,0.3789424,anger ğŸ˜¡,0.3768595
142,Happily of haffley's probably that the wrong word ,15990,neutral,0.5368286,disapproval ğŸ‘,0.39429697,curiosity ğŸ¤”,0.3821846
143,"Basically, it's everything you need to make a podcast all in one handy place ",63209,annoyance ğŸ˜’,0.38023287,curiosity ğŸ¤”,0.37251583,anger ğŸ˜¡,0.3673776
144,So this week I'm looking at other things that have been going up to over the Christmas break and we're quite big fans in the nail household of going to the cinema ,77880,neutral,0.4292067,curiosity ğŸ¤”,0.38438177,annoyance ğŸ˜’,0.37518418
145,So like I have friends that will get like lifeguards on hand when you have that many people I still get so scared about having kids around ,101908,approval ğŸ‘,0.37785017,sadness ğŸ˜,0.37198576,annoyance ğŸ˜’,0.37109074
146,At number 4 South East Melbourne gets the ball and we're going the other way and eventually eventually Mitch by the niche and Jake rocket take off like a rocket bringing the truth from the roof for the Phoenix at number four on to number three and The Once and Future ,2426,neutral,0.59520245,annoyance ğŸ˜’,0.36620435,approval ğŸ‘,0.3598871
147,Thank you Elizabeth miss you ,31698,gratitude ğŸ™,0.99784756,curiosity ğŸ¤”,0.42670396,anger ğŸ˜¡,0.3779631
148,"Yeah, it only got to me like straight up ",257,neutral,0.48938632,approval ğŸ‘,0.36209342,disappointment ğŸ˜,0.36070982
149,Is that what they say ,135340,neutral,0.69541526,curiosity ğŸ¤”,0.5115301,confusion ğŸ˜•,0.4313682
150,"Doesn't correlate with your feed then you you're probably going to you know, I have one model who has photos from he says she can't wait suppose ",77352,neutral,0.52682173,curiosity ğŸ¤”,0.38531125,confusion ğŸ˜•,0.36904898
151,I'm good a lot of talent ,116973,admiration ğŸ‘,0.64636743,sadness ğŸ˜,0.37820777,approval ğŸ‘,0.37397677
152,That's what you do ,73437,curiosity ğŸ¤”,0.6956453,confusion ğŸ˜•,0.48668128,neutral,0.44359592
153,Useful for them to hear about the therapy process and then there's a part of it ,70590,neutral,0.5566584,curiosity ğŸ¤”,0.36844334,approval ğŸ‘,0.36686784
154,"So yeah, the only thing ",76440,neutral,0.5536738,approval ğŸ‘,0.36636454,excitement ğŸ¤©,0.357304
155,So the last thing like you both guys were surprised when I said I was and I was so I'm pretty sure he felt the same way was like I'm taking this game person ,4243,approval ğŸ‘,0.38837013,surprise ğŸ˜²,0.38378343,admiration ğŸ‘,0.3806854
156,It's not just real estate talk ,65650,neutral,0.5085757,disapproval ğŸ‘,0.43639705,sadness ğŸ˜,0.39276293
157,"Before you get into this management lock because it's it's great fun, but challenging the genuine reasons need to be there because I think what a lot of people don't realize is that want to step into management ",113791,admiration ğŸ‘,0.56747645,annoyance ğŸ˜’,0.3789424,anger ğŸ˜¡,0.3768595
158,Yeah the Sox have swear words on them ,124336,neutral,0.6691478,curiosity ğŸ¤”,0.37972954,disgust ğŸ¤®,0.35586765
159,Happened and day out ,91196,neutral,0.6454818,curiosity ğŸ¤”,0.37215772,excitement ğŸ¤©,0.36795613
160,I first picked but the next two picks that really or maybe just the third pick I guess because nothing wrong with the second trick ,11843,neutral,0.44603628,approval ğŸ‘,0.3805332,confusion ğŸ˜•,0.37440825
161,It seems like he had an average exit velocity of 88 ,121514,neutral,0.62198013,disapproval ğŸ‘,0.3709887,annoyance ğŸ˜’,0.36865684
162,"Okay, so we talked about April 2016, right and then start blogging about common consent ",55688,neutral,0.5551586,annoyance ğŸ˜’,0.39184657,approval ğŸ‘,0.3690825
163,I would think okay something that I did that was really out of character one time ,6944,curiosity ğŸ¤”,0.38433072,confusion ğŸ˜•,0.37136582,approval ğŸ‘,0.36777708
164,That's why I say mine is a good for training ,18521,admiration ğŸ‘,0.5040243,curiosity ğŸ¤”,0.3875066,confusion ğŸ˜•,0.38716364
165,"Yeah, I would say so ",53620,neutral,0.41380775,approval ğŸ‘,0.37979734,realization ğŸ’¡,0.36814013
166,"Basically, it's everything you need to make a podcast all in one handy place ",63209,annoyance ğŸ˜’,0.38023287,curiosity ğŸ¤”,0.37251583,anger ğŸ˜¡,0.3673776
167,I just hope no one shows up here ,96422,optimism ğŸ¤,0.999275,desire ğŸ˜,0.40322828,caring ğŸ¤—,0.38050357
168,So thanks for Lettin us ,25435,gratitude ğŸ™,0.9971927,admiration ğŸ‘,0.40460378,sadness ğŸ˜,0.3605374
169,Let's break it down for him ,122458,neutral,0.72961295,caring ğŸ¤—,0.35968018,pride ğŸ˜Œ,0.35880724
170,And you did have this guy like from the Press like we were talking earlier who really cemented that fact of just of of just like that if we just kill more people if we just killed that next person ,17781,neutral,0.50375545,curiosity ğŸ¤”,0.3875969,annoyance ğŸ˜’,0.37489069
171,A really did everything you needed to so your way in the clear ,93418,neutral,0.42916945,curiosity ğŸ¤”,0.40998587,anger ğŸ˜¡,0.38885468
172,He talked about all those gay friends ,37198,neutral,0.62603736,anger ğŸ˜¡,0.36783972,joy ğŸ˜ƒ,0.36725914
173,We believe that in Dan ,41265,neutral,0.59028244,sadness ğŸ˜,0.3756059,surprise ğŸ˜²,0.37000838
174,Leaving the church a and working to help these people my attitude just changed ,39658,neutral,0.43238655,annoyance ğŸ˜’,0.37622947,anger ğŸ˜¡,0.37054992
175,You've also put down in summary in summary notes that ,16470,neutral,0.6191105,sadness ğŸ˜,0.36825392,pride ğŸ˜Œ,0.36226442
176,That compares to only 42 members of the Donner Party who perished in the Sierras yet ,52979,neutral,0.59337324,annoyance ğŸ˜’,0.3735224,curiosity ğŸ¤”,0.3596985
177,"We're leaving this, you know, this Palace way out in the middle of nowhere away from the people and you're going to be accountable to the people again ",17587,neutral,0.527474,annoyance ğŸ˜’,0.3888305,anger ğŸ˜¡,0.3830778
178,I need to take up the governor and I'm now a tear myself ,81420,neutral,0.42201704,approval ğŸ‘,0.38260177,desire ğŸ˜,0.38034984
