user,string,anger,fear,surprise,sadness,joy,disgust,positive,negative,neutral,ambiguous,bad_data
anne,"Yeah, exactly and the cat is that part of it, but it's happy",0,0,0,0,1,0,1,0,0,0,0
anne,"He talked about UFOs and was completely fascinated with the hillside stranglers, which were two at the time active serial killers in Los Angeles",0,0,0,0,0,1,0,0,1,0,0
anne,"I know he had his struggles against Kawhi and the Eastern Conference Finals, but I have to I have to say I'm one of their phones and I believe they will win the championship of Kauai did not sign with the Lakers",0,0,0,0,1,0,0,0,1,0,0
anne,"I'm not preaching girls, but I just wrote three things that I know to be true of color",0,0,0,0,0,0,0,0,1,0,0
anne,If you'll notice give me a verse for of the scripture,0,0,0,0,0,0,1,0,0,0,0
anne,"They might be poking in their spine and say, you know, do you",0,0,0,0,0,1,0,1,0,0,0
anne,Remember everything about later became the mayor of New York City,0,0,0,0,0,0,0,0,0,1,0
anne,Can you confirm that all of your doors and windows are locked stay on the phone with me,0,1,0,0,0,0,0,1,0,0,0
anne,"Yeah, Brooklyn didn't do good this",1,0,0,0,0,0,0,1,0,0,0
anne,"People that like girls that make the same dancing videos over and over they literally like 47 views and I'm like, okay, that's you're not getting any views on that",0,0,0,0,0,1,0,1,0,0,0
anne,"If you have intentions, right? Whether that's just a share a smile",0,0,0,0,1,0,1,0,0,0,0
anne,That's all for this review on giant cell tumor,0,0,0,0,0,0,0,0,1,0,0
anne,"It's bringing me back to like this anxiety of being in my University lectures and thinking where do I want to go with this? You know, what do I want to do? And like I don't I don't I don't mean to say anything negative about westerns",0,1,0,0,0,0,0,1,0,0,0
chandnishah,I hit five and I hit unnecessary sort of,0,0,0,0,0,0,0,1,0,0,1
chandnishah,This is going to be like that,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,"But yeah moving on to our next article, which is an article by polygon titled influencers plans see a lot about epic game stores vision of itself",0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,"Yeah, white white white Chuck done, which like nothing wrong with that",0,0,0,0,0,0,0,0,0,1,0
Alex Drossos,We'll be right back after this here on 88,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,Like you can't be like they tossed it so far behind him that hit you are,1,0,0,0,0,0,0,1,0,0,0
Alex Drossos,I have I definitely can agree with trying to separate yourself from the omnipotency of the author as the author being one of the key parts to creating a good mystery in your setting for the mysticisms any other thoughts of Chris like it also my,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,We'll see you next time,0,0,0,0,0,0,0,0,0,1,0
Alex Drossos,"The introduction in any stage of cancer whether stage 1 or stage 4 and even if someone is receiving chemo radiation, and that's what they chose to do",0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,All right in the news we got Pentatonix Kevin,0,0,0,0,0,0,0,0,0,1,0
Alex Drossos,We'll see how it goes,0,0,0,0,0,0,0,0,0,1,0
Alex Drossos,I think he was definitely onto something amazing because through my own research,0,0,0,0,0,0,1,0,0,0,0
Alex Drossos,I just I don't I mean I appreciate it's really cool,0,0,0,0,0,0,1,0,0,0,0
Alex Drossos,I want to see the third and fourth string tight ends and how they run around and how they can make a contribution next from way to go k man who makes yet another podcast what player are you most excited to watch in the first spring practice this gets back to my point in segment,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,I love the way the mother's dress up to go to the mall wearing those yoga pants and shit,0,0,0,0,0,0,1,0,0,0,0
Alex Drossos,"I don't want someone to have to from when you if you fucking pee on it, like breaks apart and start, huh? No",0,0,0,0,0,0,0,1,0,0,0
Alex Drossos,"So in this production, we did everyone's got a gun",0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,It would be the great podcasts art,0,0,0,0,0,0,1,0,0,0,0
Alex Drossos,I started reading about finances,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,So I actually started seeing a sports psychologist back in probably around like the end of 2017 beginning of 2018 I guess is when I started seeing a sports psychologist,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,If your sweat rate and stuff,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,I just think that's my practice,0,0,0,0,0,0,0,0,0,1,0
Alex Drossos,"It's almost as if like the game was made with the intention of the camera as well, you know, like as a mechanic versus like making a level making a boss and then having a camera there like that's sort of what Dark Souls kind of fell into but it's true",0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,"So at this point Laura straight-out asked Folly if he intended to kill her and he replied that it wasn't in this intention to do so, but by law",0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,It's the first time the guys that you got you just caught him,0,0,0,0,0,0,0,1,0,0,0
Alex Drossos,"ready to go fishing, you know buying a couple snacks for the road juice granola bars chips, whatever and there was this old lady behind me",0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,"All right, so enough of that we are back and we were again join with them to",0,0,0,0,0,0,0,0,0,1,0
Alex Drossos,Memphis depay and Bertrand traoré Leon looked pretty good,0,0,0,0,0,0,1,0,0,0,0
Alex Drossos,It's the same kind of thing idiot,0,0,0,0,0,0,0,1,0,0,0
Alex Drossos,"It's like hey, if you didn't Harvest enough of me tough shit like times up time to go time's up",0,0,0,0,0,0,0,1,0,0,0
Alex Drossos,"No, like I actually work to master myself because if I don't have control over my own emotions and that's all being triggered is then I'm never going to have a life that I enjoy",0,0,0,0,0,0,0,1,0,0,0
Alex Drossos,This is before you even created pressure,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,I think they're kind of like last year Celtics team,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,You just said that that reminded me to say I had thought I should say Well done you and she's a great gal,0,0,0,0,0,0,1,0,0,0,0
Alex Drossos,Why is important lesson? Oh well if the,0,0,0,0,0,0,0,0,1,0,1
Alex Drossos,then you do it again,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,I just make Bank off of it,0,0,0,0,0,0,1,0,0,0,0
Alex Drossos,"Oh, yeah anyone can do it anyone can use it",0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,It is just a suggestion never a requirement and I do want to again express my heartfelt,0,0,0,0,0,0,0,1,0,0,0
Alex Drossos,And pip has a deep affection for Joe,0,0,0,0,0,0,1,0,0,0,0
Alex Drossos,Help as many people as possible first,0,0,0,0,0,0,1,0,0,0,0
Alex Drossos,"have his own account, but I tried not to be one of those people and I can't just fake it fake reticuli according to shop over here",0,0,0,0,0,0,0,1,0,0,0
Alex Drossos,They have like a like a glow to the that's not super fucking cheesy,0,0,0,0,0,0,0,1,0,0,0
Alex Drossos,I never watch a pro bowl,0,0,0,0,0,0,0,1,0,0,0
Alex Drossos,It's true just about anything what you take away astronomically,0,0,0,0,0,0,0,0,0,1,0
Alex Drossos,It's 2019 and is 29 why so you just have to believe and go with it?,0,0,0,0,0,0,0,1,0,0,0
Alex Drossos,So even though I've trained with him and you've mentioned him tell us about Jeff the Jeff of the story is Jeff Richards,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,How do you guys want to how do you guys want to get into this dude? Do we want to go one person at a time given the rundown do we each want to do number five then each do number four,0,0,0,0,0,0,0,0,1,0,0
Alex Drossos,I mean you have so many great companies based over there,0,0,0,0,0,0,1,0,0,0,0
Alex Drossos,My three non-negotiables one would be baby wipes to would be Diet Coke,0,0,0,0,0,0,0,0,1,0,0
anne,"I can't find it and they go have you looked under your bed and I go no, so I go up and I'd look under my bed and I come back to I still can't find it",0,1,0,0,0,0,0,1,0,0,0
anne,Let's give it give it a shot and it was a year before we get went to 11 or side,0,0,0,0,0,0,1,0,0,0,1
anne,You can go and put mine up there too,0,0,0,0,0,0,1,0,0,0,0
anne,"Yeah, I would love to size",0,0,0,0,1,0,1,0,0,0,0
anne,It's not going to it's not going to complete and go through until the end of the day,0,1,0,0,0,0,0,1,0,0,0
anne,Other proteins do you eat and if they haven't had those experiences then they have not had that part of their life expanded and so they might want to go try it Shannon any foods,0,0,0,0,0,1,0,1,0,0,0
anne,You're into a lot of shoe,0,0,0,0,0,0,0,0,1,0,0
anne,I can't wait for the adoption papers to go through OST excited my mom and dad so much so uplifting and inspiring I could talk to you for a million years,0,0,0,0,1,0,1,0,0,0,0
anne,"If I end up dead there's a y'all should probably look into him for her likes, please cause I'm like look up Justin being last name",0,1,0,0,0,0,0,0,1,0,1
anne,I think about what you would expect,0,0,0,0,0,1,0,0,1,0,0
anne,"Yeah, tune in and support all you can",0,0,0,0,1,0,1,0,0,0,0
anne,"Yeah, it's not good",0,0,0,0,0,1,0,1,0,0,0
anne,I feel he could actually do that in a serious role and be like no no,0,0,0,0,0,0,0,0,0,1,0
anne,We goof off a lot,0,0,0,0,1,0,1,0,0,0,0
anne,"Anyway, anyways, Alaska dude, I fucking love it here and I get upset when people don't like it might be just got mountains",0,0,0,0,1,0,1,0,0,0,0
