admiration, anger, annoyance, approval, caring, curiosity, desire, disappointment, disapproval, excitement, gratitude, grief, joy, love, nervousness, optimism, pride, realization,remorse, neutral, bad_string,string,stringID,tag1,score1,tag2,score2,tag3,score3
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Let's break it down for him ,122458,neutral,0.72961295,caring ğŸ¤—,0.35968018,pride ğŸ˜Œ,0.35880724
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,That's what you do ,73437,curiosity ğŸ¤”,0.6956453,confusion ğŸ˜•,0.48668128,neutral,0.44359592
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,He talked about all those gay friends ,37198,neutral,0.62603736,anger ğŸ˜¡,0.36783972,joy ğŸ˜ƒ,0.36725914
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,It seems like he had an average exit velocity of 88 ,121514,neutral,0.62198013,disapproval ğŸ‘,0.3709887,annoyance ğŸ˜’,0.36865684
0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,"Before you get into this management lock because it's it's great fun, but challenging the genuine reasons need to be there because I think what a lot of people don't realize is that want to step into management ",113791,admiration ğŸ‘,0.56747645,annoyance ğŸ˜’,0.3789424,anger ğŸ˜¡,0.3768595
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Useful for them to hear about the therapy process and then there's a part of it ,70590,neutral,0.5566584,curiosity ğŸ¤”,0.36844334,approval ğŸ‘,0.36686784
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"So yeah, the only thing ",76440,neutral,0.5536738,approval ğŸ‘,0.36636454,excitement ğŸ¤©,0.357304
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,And you did have this guy like from the Press like we were talking earlier who really cemented that fact of just of of just like that if we just kill more people if we just killed that next person ,17781,neutral,0.50375545,curiosity ğŸ¤”,0.3875969,annoyance ğŸ˜’,0.37489069
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,So this week I'm looking at other things that have been going up to over the Christmas break and we're quite big fans in the nail household of going to the cinema ,77880,neutral,0.4292067,curiosity ğŸ¤”,0.38438177,annoyance ğŸ˜’,0.37518418
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,"Okay, I would actually like to Niche down to working with former gang members and drug dealers, you know, because being a criminal could be so Broad and that's that's personal passion ",70270,neutral,0.4148488,approval ğŸ‘,0.37538686,annoyance ğŸ˜’,0.37332034
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,"That's just me, but it definitely happens rumor has it also that the hottest most ",28746,neutral,0.4120767,approval ğŸ‘,0.39282507,annoyance ğŸ˜’,0.37222385
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"Listen, he's not always born like how he was when you came with who's super quiet, right ",5466,curiosity ğŸ¤”,0.40461245,neutral,0.38166577,disapproval ğŸ‘,0.37968948
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,So that is personal self care ,88801,anger ğŸ˜¡,0.3912244,neutral,0.38620675,admiration ğŸ‘,0.38221398
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,"Basically, it's everything you need to make a podcast all in one handy place ",63209,annoyance ğŸ˜’,0.38023287,curiosity ğŸ¤”,0.37251583,anger ğŸ˜¡,0.3673776
